State,state_sum_bonds_notes_leases,Name,debt_outstanding_census
AK,3859678745,Alaska,9505582
AL,15890015119,Alabama,30859593
AR,13860607921,Arkansas,19470364
AS,116950000,NA,NA
AZ,33875517946,Arizona,44528672
CA,260735963715,California,506660575
CO,36373638204,Colorado,63953107
CT,47524560724,Connecticut,53612594
DC,13131496707,District of Columbia,4886222
DE,5552165704,Delaware,7450721
FL,93361724352,Florida,130231810
GA,39187587024,Georgia,60443868
GU,1455604085,NA,NA
HI,21774413225,Hawaii,17715106
IA,17665525194,Iowa,19653861
ID,3712490196,Idaho,6143267
IL,109103145536,Illinois,165097099
IN,18082663511,Indiana,50306449
KS,17239905550,Kansas,26532661
KY,21382976605,Kentucky,53097228
LA,19134026469,Louisiana,34411300
MA,69573566195,Massachusetts,98310530
MD,46010520519,Maryland,56468794
ME,6114711765,Maine,8416265
MI,63298864933,Michigan,72348116
MN,37769195386,Minnesota,54923265
MO,19219254238,Missouri,46410858
MS,8992628606,Mississippi,14480675
MT,2335243026,Montana,5583099
NC,37410930764,North Carolina,47574491
ND,7500383087,North Dakota,9697010
NE,15857806914,Nebraska,14503692
NH,3937228750,New Hampshire,10320507
NJ,77818314862,New Jersey,92231419
NM,14128969777,New Mexico,16310444
NV,18899146251,Nevada,29588266
NY,183252001088,New York,358150392
OH,70938022810,Ohio,87992409
OK,24350611265,Oklahoma,20918835
OR,38193047719,Oregon,40861782
PA,66417563277,Pennsylvania,125178461
PR,7340810754,NA,NA
RI,6688930578,Rhode Island,11952946
SC,22186762546,South Carolina,37123527
SD,3649295801,South Dakota,6198267
TN,28990297982,Tennessee,45243177
TX,276259482731,Texas,301840027
UT,21830466892,Utah,22547892
VA,46946358721,Virginia,66628467
VT,2804502648,Vermont,4701183
WA,51525379635,Washington,94548994
WI,32391397088,Wisconsin,48572754
WV,5572599733,West Virginia,14149397
WY,1440630491,Wyoming,1989367
